INFO 2025-06-10 03:32:42,693 utils 25084 33092 USER_ACTION: {'timestamp': '2025-06-10T03:32:42.676465+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 03:32:44,288 utils 25084 33092 USER_ACTION: {'timestamp': '2025-06-10T03:32:44.288434+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 03:44:23,603 utils 25084 26320 USER_ACTION: {'timestamp': '2025-06-10T03:44:23.599955+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 03:49:12,596 utils 25084 26320 USER_ACTION: {'timestamp': '2025-06-10T03:49:12.593380+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 03:52:32,156 utils 25084 32120 USER_ACTION: {'timestamp': '2025-06-10T03:52:32.152623+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 03:52:34,051 utils 25084 32120 USER_ACTION: {'timestamp': '2025-06-10T03:52:34.048421+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 03:52:35,159 utils 25084 32120 USER_ACTION: {'timestamp': '2025-06-10T03:52:35.155805+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 03:52:35,493 utils 25084 32120 USER_ACTION: {'timestamp': '2025-06-10T03:52:35.489269+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 03:58:32,224 utils 25084 34504 USER_ACTION: {'timestamp': '2025-06-10T03:58:32.220539+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 03:58:33,412 utils 25084 34504 USER_ACTION: {'timestamp': '2025-06-10T03:58:33.408631+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 03:58:45,403 utils 25084 34504 USER_ACTION: {'timestamp': '2025-06-10T03:58:45.393168+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 04:07:23,628 utils 25084 21580 USER_ACTION: {'timestamp': '2025-06-10T04:07:23.621570+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 04:07:41,270 utils 25084 21580 USER_ACTION: {'timestamp': '2025-06-10T04:07:41.262733+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
INFO 2025-06-10 04:07:45,655 utils 25084 21580 USER_ACTION: {'timestamp': '2025-06-10T04:07:45.647471+00:00', 'user_id': 1, 'user_name': 'admin', 'role': 'Auditeur', 'action': 'consultation', 'feature': 'Dashboard', 'target': '', 'resource_id': '', 'old_value': '', 'new_value': '', 'status': 'success', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36'}
